carat,cut,color,clarity,depth,table,price,measurements
1.02,Excellent,G,SI2,60.3,62.0,"$5,410",6.51x6.53x3.93 mm
1.22,Excellent,H,VVS2,59.9,60.0,"$8,540",6.98x7.02x4.19 mm
1.20,Excellent,I,SI1,62.7,57.0,"$4,493",6.75x6.79x4.24 mm
1.50,Good,H,SI2,64.1,60.0,"$6,900",7.1x7.12x4.56 mm
1.32,Excellent,J,VS1,62.1,57.0,"$4,260",6.99x7.02x4.35 mm
1.01,Excellent,H,SI1,62.3,57.0,"$4,210",6.43x6.45x4.01 mm
0.91,Excellent,G,VVS2,61.7,58.0,"$5,230",6.19x6.23x3.83 mm
1.10,Excellent,I,VS1,59.2,59.0,"$6,710",6.72x6.77x3.99 mm
1.03,Excellent,G,VS2,60.5,59.0,"$7,330",6.56x6.59x3.98 mm
1.02,Very Good,F,SI2,60.2,61.0,"$4,960",6.48x6.52x3.91 mm
1.01,Very Good,H,VS1,57.8,61.0,"$6,790",6.53x6.6x3.8 mm
1.16,Excellent,F,VS2,62.5,56.0,"$7,350",6.69x6.73x4.2 mm
1.47,Good,I,VS2,61.0,66.0,"$9,980",7.27x7.33x4.45 mm
1.50,Excellent,G,SI2,61.0,57.0,"$7,540",7.35x7.39x4.5 mm
0.91,Excellent,D,IF,59.2,61.0,"$7,009",6.3x6.34x3.74 mm
1.04,Excellent,H,SI1,62.0,55.0,"$5,630",6.48x6.52x4.03 mm
1.02,Excellent,D,SI2,62.3,56.0,"$5,690",6.38x6.47x4.01 mm
1.23,Excellent,E,SI1,60.3,61.0,"$9,440",6.92x6.94x4.18 mm
1.20,Excellent,H,VS1,62.2,56.0,"$8,720",6.8x6.83x4.24 mm
1.37,Excellent,I,VS2,62.3,57.0,"$9,860",7.05x7.1x4.4 mm
1.21,Excellent,I,VS2,61.3,59.0,"$7,930",6.78x6.86x4.18 mm
1.00,Excellent,F,VS2,59.2,61.0,"$8,640",6.51x6.56x3.87 mm
0.90,Excellent,D,VVS2,62.9,56.0,"$9,250",6.11x6.17x3.86 mm
1.32,Excellent,E,SI2,62.2,56.0,"$8,040",6.99x7.03x4.36 mm
1.17,Excellent,H,VS2,62.3,55.0,"$6,800",6.73x6.76x4.2 mm
1.21,Excellent,H,VS2,61.0,59.0,"$9,430",6.83x6.91x4.19 mm
1.26,Excellent,H,VS2,62.0,60.0,"$9,780",6.86x6.92x4.27 mm
1.20,Excellent,F,SI1,61.5,58.0,"$8,440",6.8x6.84x4.19 mm
1.20,Excellent,I,VS1,60.9,59.0,"$7,100",6.85x6.87x4.18 mm
1.00,Excellent,H,VS2,62.6,57.0,"$4,260",6.34x6.38x3.98 mm
1.01,Very Good,D,SI1,64.4,59.0,"$4,960",6.24x6.29x4.04 mm
